obsid,corr_0,corr_1,corr_2,corr_3,corr_4,corr_5,corr_6,corr_7,corr_8,corr_9,
740103212,0.929,0.940,0.954,0.850,0.791,0.966,0.510,0.140,0.523,0.875,
740103159,0.915,0.921,0.971,0.911,0.868,0.915,0.628,0.174,0.670,0.887,
740103003,0.932,0.912,0.945,0.873,0.816,0.930,0.653,0.170,0.533,0.880,
740103150,0.921,0.923,0.952,0.849,0.759,0.939,0.593,0.149,0.457,0.889,
740103010,0.931,0.926,0.955,0.866,0.778,0.945,0.527,0.185,0.580,0.902,
740103164,0.932,0.948,0.913,0.732,0.554,0.965,0.193,0.177,0.393,0.758,
740103115,0.879,0.875,0.911,0.726,0.573,0.876,0.360,0.158,0.452,0.801,
740103059,0.899,0.889,0.926,0.684,0.437,0.914,0.285,0.116,0.296,0.830,
740103193,0.890,0.864,0.948,0.853,0.739,0.802,0.525,0.227,0.470,0.812,
740103139,0.946,0.953,0.817,0.461,0.221,0.965,0.150,0.167,0.175,0.669,
740103027,0.889,0.850,0.871,0.514,0.314,0.781,0.157,0.096,0.257,0.303,
740103177,0.663,0.911,0.768,0.346,0.182,0.943,0.184,0.166,0.189,0.561,
740103106,0.819,0.818,0.848,0.550,0.316,0.846,0.243,0.099,0.178,0.447,
740103208,0.924,0.930,0.961,0.903,0.901,0.922,0.749,0.215,0.649,0.903,
740103210,0.932,0.916,0.968,0.914,0.850,0.921,0.573,0.218,0.487,0.877,
740103183,0.882,0.920,0.939,0.744,0.630,0.942,0.299,0.112,0.263,0.860,
740103188,0.936,0.953,0.965,0.846,0.799,0.973,0.377,0.146,0.398,0.869,
740103135,0.931,0.920,0.965,0.925,0.895,0.907,0.702,0.259,0.601,0.892,
740103140,0.895,0.879,0.936,0.738,0.818,0.846,0.695,0.376,0.584,0.811,
740103048,0.903,0.886,0.943,0.798,0.663,0.924,0.360,0.127,0.489,0.847,
740103149,0.881,0.909,0.613,0.299,0.070,0.915,0.143,0.154,0.312,0.491,
740103201,0.942,0.938,0.946,0.882,0.849,0.975,0.135,0.144,0.448,0.891,
740103022,0.930,0.911,0.958,0.900,0.873,0.911,0.722,0.302,0.639,0.900,
740103086,0.859,0.850,0.931,0.705,0.591,0.898,0.104,0.125,0.377,0.852,
740103102,0.889,0.916,0.950,0.774,0.644,0.932,0.435,0.130,0.294,0.786,
740103171,0.931,0.938,0.959,0.873,0.763,0.960,0.396,0.168,0.454,0.872,
740103033,0.927,0.926,0.953,0.865,0.784,0.949,0.587,0.159,0.482,0.897,
740103085,0.927,0.912,0.951,0.932,0.854,0.928,0.748,0.342,0.620,0.901,
740103093,0.944,0.962,0.943,0.847,0.713,0.976,0.214,0.134,0.167,0.840,
