obsid,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,
740103212,-19.723,-19.766,-23.017,-19.285,-9.672,-8.180,-29.441,-875.021,-37.751,-18.000,
740103159,-57.472,-52.725,-51.754,-44.368,-43.694,-43.437,-65.546,-82.363,-64.707,-45.550,
740103003,-1.139,3.832,3.585,10.841,4.584,14.402,11.417,-4.394,0.553,6.719,
740103150,21.634,23.762,27.080,26.495,28.879,41.135,46.433,33.116,69.136,34.272,
740103010,-65.828,-60.204,-59.458,-50.556,-50.168,-52.523,-66.276,-654.997,-67.948,-57.143,
740103164,-54.137,-42.222,-42.080,-27.899,-41.692,-31.135,-72.640,1000.000,-68.108,-40.502,
740103115,-133.252,-125.444,-121.409,-98.905,-134.179,-121.334,-128.570,-232.882,-159.939,-119.747,
740103059,-38.606,-30.899,-27.197,-21.165,-7.936,-17.373,-31.243,-530.180,-35.891,-23.668,
740103193,-60.068,-55.227,-50.961,-43.064,-44.033,-41.648,-53.820,-53.298,-43.899,-53.179,
740103139,161.201,167.367,171.305,187.123,174.664,177.093,418.708,-948.775,-1000.000,183.489,
740103027,-96.692,-96.892,-93.416,-114.183,-53.492,-90.598,-115.349,-577.249,-58.692,-78.154,
740103177,142.233,157.069,155.552,158.935,159.766,175.406,-383.723,-989.866,-1000.000,166.291,
740103106,1.396,7.510,0.348,-13.590,9.994,14.429,60.788,-353.776,-45.030,7.550,
740103208,-20.407,-18.815,-17.501,-11.850,-11.403,-4.498,-13.020,-18.094,-26.651,-12.041,
740103210,61.993,64.708,62.335,65.290,72.622,76.262,100.992,110.890,94.692,67.446,
740103183,69.834,76.206,82.396,77.860,75.151,81.050,132.199,702.120,138.387,76.111,
740103188,4.291,10.800,9.512,10.197,17.132,21.395,15.843,-880.899,8.665,14.819,
740103135,1.380,4.973,7.304,6.466,10.428,16.047,13.459,8.502,17.264,12.061,
740103140,-26.177,-20.177,-12.587,-10.284,-7.916,-6.361,-11.727,-8.908,4.901,-10.740,
740103048,-27.046,-26.148,-26.128,-16.434,-12.352,-14.622,-29.439,-844.223,-14.909,-17.436,
740103149,19.693,16.044,18.255,-5.201,1000.000,24.586,-399.843,896.539,-1000.000,9.091,
740103201,24.295,31.088,31.365,34.988,34.055,42.633,1000.000,-909.944,52.880,36.692,
740103022,-24.954,-20.850,-19.314,-15.295,-14.060,-8.607,-19.384,-23.307,-30.100,-12.505,
740103086,-10.690,-14.879,-6.555,-5.712,2.010,6.120,-918.619,945.120,-55.894,0.212,
740103102,37.938,47.090,50.623,49.529,41.723,59.196,72.740,-870.148,83.937,53.325,
740103171,-15.260,-9.178,-6.790,0.691,-0.096,7.122,1.783,705.604,-17.669,1.654,
740103033,23.708,24.289,26.963,33.410,33.546,42.552,46.938,57.587,57.098,30.967,
740103085,-25.322,-23.479,-14.039,-2.490,-12.234,-9.451,-19.313,-15.355,-24.117,-9.439,
740103093,18.897,23.823,21.406,23.573,32.790,34.624,44.901,-440.916,-4.491,25.254,
